,Tijd,Type,Klasse,Waarde,ID,Omschrijving,Status,Prioriteit,Comment,Tijd_Came,Tijd_Went,Tijd_ack,UUID,DPE,seconden
236,2015-12-02 19:42:52.203,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085372
357,2015-12-02 19:41:39.072,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449085299
380,2015-12-02 19:41:36.893,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085296
388,2015-12-02 19:41:36.822,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449085296
505,2015-12-02 19:39:32.183,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085172
614,2015-12-02 19:38:10.076,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449085090
619,2015-12-02 19:38:10.076,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085090
641,2015-12-02 19:38:09.922,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449085089
976,2015-12-02 17:53:08.081,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078788
1092,2015-12-02 17:51:56.338,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449078716
1102,2015-12-02 17:51:54.176,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078714
1123,2015-12-02 17:51:54.025,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449078714
1242,2015-12-02 17:50:39.084,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078639
1347,2015-12-02 17:49:19.302,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449078559
1369,2015-12-02 17:49:17.184,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078557
1376,2015-12-02 17:49:17.069,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449078557
1711,2015-12-02 16:52:14.782,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449075134
1826,2015-12-02 16:51:02.866,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449075062
1845,2015-12-02 16:51:00.887,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449075060
1854,2015-12-02 16:51:00.786,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449075060
1926,2015-12-02 16:47:17.583,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449074837
2031,2015-12-02 16:45:58.135,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449074758
2039,2015-12-02 16:45:55.982,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449074755
2059,2015-12-02 16:45:55.823,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449074755
2501,2015-12-02 15:53:43.888,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071623
2617,2015-12-02 15:52:32.169,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449071552
2636,2015-12-02 15:52:29.990,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071549
2648,2015-12-02 15:52:29.810,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449071549
2764,2015-12-02 15:50:47.886,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071447
2871,2015-12-02 15:49:28.352,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449071368
2894,2015-12-02 15:49:26.180,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071366
2901,2015-12-02 15:49:26.081,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449071366
3260,2015-12-02 14:18:20.881,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449065900
3375,2015-12-02 14:17:09.315,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449065829
3396,2015-12-02 14:17:07.083,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449065827
3403,2015-12-02 14:17:06.900,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449065826
3464,2015-12-02 14:14:44.092,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449065684
3578,2015-12-02 14:13:25.013,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449065605
3592,2015-12-02 14:13:22.894,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449065602
3606,2015-12-02 14:13:22.743,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449065602
3954,2015-12-02 14:05:35.683,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449065135
4071,2015-12-02 14:04:24.051,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449065064
4081,2015-12-02 14:04:21.884,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449065061
4102,2015-12-02 14:04:21.731,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449065061
4224,2015-12-02 14:02:31.281,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449064951
4345,2015-12-02 14:01:12.070,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449064872
4353,2015-12-02 14:01:10.084,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449064870
4374,2015-12-02 14:01:09.911,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449064869
4811,2015-12-02 13:47:53.286,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449064073
4951,2015-12-02 13:46:41.507,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449064001
4960,2015-12-02 13:46:39.376,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449063999
4979,2015-12-02 13:46:39.179,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,31,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449063999
5050,2015-12-02 13:44:00.592,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449063840
5158,2015-12-02 13:42:38.791,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449063758
5163,2015-12-02 13:42:38.791,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449063758
5185,2015-12-02 13:42:38.615,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,31,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449063758
5779,2015-12-02 11:16:55.896,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449055015
5907,2015-12-02 11:15:37.896,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449054937
5912,2015-12-02 11:15:37.896,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449054937
5933,2015-12-02 11:15:37.740,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,31,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449054937
6041,2015-12-02 11:12:54.900,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449054774
6160,2015-12-02 11:11:34.842,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449054694
6183,2015-12-02 11:11:32.694,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449054692
6190,2015-12-02 11:11:32.527,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,31,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449054692
6609,2015-12-02 08:19:48.186,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449044388
6729,2015-12-02 08:18:35.857,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449044315
6739,2015-12-02 08:18:33.788,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449044313
6757,2015-12-02 08:18:33.571,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449044313
6831,2015-12-02 08:16:05.990,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449044165
6938,2015-12-02 08:14:44.963,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449044084
6960,2015-12-02 08:14:43.791,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449044083
6967,2015-12-02 08:14:43.687,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449044083
7475,2015-12-02 06:13:01.701,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449036781
7596,2015-12-02 06:11:48.227,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449036708
7607,2015-12-02 06:11:46.000,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449036706
7624,2015-12-02 06:11:45.790,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449036705
7696,2015-12-02 06:07:53.897,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449036473
7803,2015-12-02 06:06:32.468,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449036392
7817,2015-12-02 06:06:31.389,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449036391
7832,2015-12-02 06:06:31.258,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449036391
8370,2015-12-03 21:13:25.382,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449177205
8486,2015-12-03 21:12:08.476,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449177128
8503,2015-12-03 21:12:06.481,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449177126
8514,2015-12-03 21:12:06.352,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,38,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449177126
8586,2015-12-03 21:09:48.681,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449176988
8691,2015-12-03 21:08:28.018,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449176908
8710,2015-12-03 21:08:25.874,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449176905
8720,2015-12-03 21:08:25.776,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,38,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449176905
9517,2015-12-03 19:07:17.581,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449169637
9634,2015-12-03 19:06:01.604,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449169561
9655,2015-12-03 19:05:59.578,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449169559
9662,2015-12-03 19:05:59.403,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449169559
9733,2015-12-03 19:04:19.198,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449169459
9839,2015-12-03 19:02:58.895,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449169378
9846,2015-12-03 19:02:56.799,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449169376
9868,2015-12-03 19:02:56.608,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449169376
10125,2015-12-03 17:33:25.276,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449164005
10246,2015-12-03 17:32:13.118,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449163933
10256,2015-12-03 17:32:11.188,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449163931
10277,2015-12-03 17:32:10.984,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449163930
10380,2015-12-03 17:29:08.694,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449163748
10500,2015-12-03 17:27:48.781,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449163668
10510,2015-12-03 17:27:46.792,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449163666
10529,2015-12-03 17:27:46.637,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449163666
10849,2015-12-03 16:52:54.188,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449161574
10973,2015-12-03 16:51:36.911,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449161496
10981,2015-12-03 16:51:34.882,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449161494
11004,2015-12-03 16:51:34.745,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449161494
11115,2015-12-03 16:48:32.481,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449161312
11227,2015-12-03 16:47:12.083,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449161232
11235,2015-12-03 16:47:09.978,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449161229
11257,2015-12-03 16:47:09.847,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449161229
11634,2015-12-03 13:49:22.479,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449150562
11757,2015-12-03 13:48:10.318,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449150490
11780,2015-12-03 13:48:08.276,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449150488
11788,2015-12-03 13:48:08.194,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,82,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449150488
11901,2015-12-03 13:46:27.580,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449150387
12013,2015-12-03 13:45:07.603,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449150307
12036,2015-12-03 13:45:05.576,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449150305
12043,2015-12-03 13:45:05.457,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,82,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449150305
12390,2015-12-03 12:29:17.098,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449145757
12510,2015-12-03 12:28:04.959,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449145684
12522,2015-12-03 12:28:02.799,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449145682
12541,2015-12-03 12:28:02.654,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,79,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449145682
12645,2015-12-03 12:26:35.691,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449145595
12766,2015-12-03 12:25:14.190,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449145514
12771,2015-12-03 12:25:14.190,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449145514
12794,2015-12-03 12:25:13.992,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,79,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449145513
13125,2015-12-03 11:21:53.992,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449141713
13247,2015-12-03 11:20:35.771,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449141635
13259,2015-12-03 11:20:33.797,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449141633
13278,2015-12-03 11:20:33.572,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,82,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449141633
13395,2015-12-03 11:14:55.180,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449141295
13501,2015-12-03 11:13:34.155,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449141214
13524,2015-12-03 11:13:32.082,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449141212
13531,2015-12-03 11:13:31.999,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,82,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449141211
14103,2015-12-04 12:19:49.400,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449231589
14227,2015-12-04 12:18:31.392,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449231511
14237,2015-12-04 12:18:29.200,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449231509
14258,2015-12-04 12:18:29.015,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449231509
14362,2015-12-04 12:16:57.992,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449231417
14481,2015-12-04 12:15:36.798,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449231336
14493,2015-12-04 12:15:34.785,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449231334
14511,2015-12-04 12:15:34.644,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449231334
15414,2015-12-05 07:30:13.375,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449300613
15534,2015-12-05 07:28:49.355,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449300529
15543,2015-12-05 07:28:47.200,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449300527
15565,2015-12-05 07:28:47.000,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449300527
15677,2015-12-05 07:21:26.495,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449300086
15788,2015-12-05 07:20:04.098,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449300004
15811,2015-12-05 07:20:02.096,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449300002
15818,2015-12-05 07:20:01.984,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449300001
16460,2015-12-07 15:57:47.594,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449503867
16581,2015-12-07 15:56:35.665,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449503795
16593,2015-12-07 15:56:33.593,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449503793
16612,2015-12-07 15:56:33.465,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449503793
16716,2015-12-07 15:55:27.602,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449503727
16839,2015-12-07 15:54:07.392,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449503647
16850,2015-12-07 15:54:06.090,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449503646
16869,2015-12-07 15:54:05.868,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449503645
17306,2015-12-07 14:21:36.193,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449498096
17424,2015-12-07 14:20:24.286,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449498024
17445,2015-12-07 14:20:22.201,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449498022
17452,2015-12-07 14:20:22.077,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449498022
17525,2015-12-07 14:19:05.994,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449497945
17631,2015-12-07 14:17:47.006,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449497867
17652,2015-12-07 14:17:44.990,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449497864
17659,2015-12-07 14:17:44.930,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,77,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449497864
18133,2015-12-07 13:59:48.793,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449496788
18254,2015-12-07 13:58:36.783,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449496716
18264,2015-12-07 13:58:34.598,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449496714
18285,2015-12-07 13:58:34.396,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,82,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449496714
18380,2015-12-07 13:57:29.796,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449496649
