,duur,beweging,time
317,86,True,2016-01-14 07:58:03.586
318,87,False,2016-01-14 07:55:32.401
319,83,True,2016-01-15 21:18:01.279
320,88,False,2016-01-15 21:14:56.982
321,78,True,2016-01-18 14:54:05.781
322,86,False,2016-01-18 14:51:27.676
323,78,True,2016-01-18 14:09:58.787
324,86,False,2016-01-18 14:06:50.878
325,79,True,2016-01-18 13:44:51.684
326,86,False,2016-01-18 13:40:57.084
327,80,True,2016-01-18 12:57:16.878
328,88,False,2016-01-18 12:52:33.386
329,80,True,2016-01-18 11:32:22.474
330,88,False,2016-01-18 11:28:36.478
331,86,True,2016-01-18 11:06:39.280
332,94,False,2016-01-18 11:02:35.487
333,85,True,2016-01-19 14:40:00.386
334,90,False,2016-01-19 14:37:45.592
335,95,True,2016-01-19 09:37:30.086
336,101,False,2016-01-19 09:33:49.392
337,82,True,2016-01-20 07:53:53.783
338,87,False,2016-01-20 07:51:48.377
339,89,True,2016-01-20 06:42:38.496
340,91,False,2016-01-20 06:39:08.787
341,85,True,2016-01-21 19:58:43.096
342,89,False,2016-01-21 19:54:51.397
343,80,True,2016-01-21 15:52:44.489
344,84,False,2016-01-21 15:49:43.175
345,81,True,2016-01-21 14:29:46.592
346,86,False,2016-01-21 14:26:27.795
347,82,True,2016-01-21 11:48:38.683
348,87,False,2016-01-21 11:45:00.377
349,78,True,2016-01-21 09:05:08.380
350,84,False,2016-01-21 08:57:41.091
351,90,True,2016-01-21 08:44:21.483
352,90,False,2016-01-21 08:39:46.285
353,84,True,2016-01-22 14:42:23.291
354,87,False,2016-01-22 14:39:37.893
355,85,True,2016-01-22 11:45:03.491
356,89,False,2016-01-22 11:40:47.991
357,88,True,2016-01-23 08:19:17.095
358,86,False,2016-01-23 08:16:04.396
359,79,True,2016-01-25 16:33:47.689
360,81,False,2016-01-25 16:31:23.478
361,74,True,2016-01-25 14:12:29.497
362,81,False,2016-01-25 14:09:42.589
363,83,True,2016-01-25 13:06:57.788
364,81,False,2016-01-25 13:00:05.282
365,74,True,2016-01-26 21:46:24.295
366,82,False,2016-01-26 21:42:41.391
367,78,True,2016-01-26 21:10:49.592
368,82,False,2016-01-26 21:07:09.194
369,85,True,2016-01-26 20:04:26.091
370,83,False,2016-01-26 20:01:20.492
371,82,True,2016-01-26 11:45:57.878
372,82,False,2016-01-26 11:43:40.081
373,80,True,2016-01-26 06:45:04.784
374,83,False,2016-01-26 06:40:24.284
375,77,True,2016-01-27 17:47:20.001
376,82,False,2016-01-27 17:42:58.987
377,83,True,2016-01-27 16:53:38.676
378,82,False,2016-01-27 16:51:05.281
379,82,True,2016-01-27 11:41:14.694
380,83,False,2016-01-27 11:38:10.693
381,81,True,2016-01-27 07:46:22.290
382,82,False,2016-01-27 07:42:22.294
383,80,True,2016-01-28 17:57:01.377
384,84,False,2016-01-28 17:54:06.882
385,74,True,2016-01-28 13:40:18.580
386,83,False,2016-01-28 13:36:34.986
387,76,True,2016-01-28 12:45:22.987
388,83,False,2016-01-28 12:42:50.587
389,76,True,2016-01-28 11:02:07.392
390,85,False,2016-01-28 10:58:39.191
391,82,True,2016-01-29 20:25:25.279
392,82,False,2016-01-29 20:20:52.290
393,82,True,2016-01-29 16:53:17.279
394,83,False,2016-01-29 16:49:11.388
395,83,True,2016-01-29 12:15:02.989
396,83,False,2016-01-29 12:12:38.291
397,83,True,2016-01-29 07:52:12.297
398,84,False,2016-01-29 07:48:26.392
399,83,True,2016-01-30 18:40:15.983
400,86,False,2016-01-30 18:38:39.580
401,80,True,2016-01-30 12:07:14.898
402,84,False,2016-01-30 12:04:23.191
403,79,True,2016-02-01 19:59:53.583
404,83,False,2016-02-01 19:56:11.578
405,77,True,2016-02-01 16:43:34.596
406,83,False,2016-02-01 16:39:33.990
407,73,True,2016-02-01 14:08:44.292
408,81,False,2016-02-01 14:05:52.483
409,73,True,2016-02-01 13:55:16.477
410,82,False,2016-02-01 13:50:40.489
411,74,True,2016-02-01 13:26:49.983
412,82,False,2016-02-01 13:23:12.786
413,75,True,2016-02-01 13:11:23.909
414,82,False,2016-02-01 13:08:23.592
415,74,True,2016-02-01 11:13:57.392
416,82,False,2016-02-01 11:10:01.990
417,84,True,2016-02-01 11:02:43.985
418,83,False,2016-02-01 10:59:42.487
419,79,True,2016-02-01 19:59:53.583
420,83,False,2016-02-01 19:56:11.578
421,77,True,2016-02-01 16:43:34.596
422,83,False,2016-02-01 16:39:33.990
423,73,True,2016-02-01 14:08:44.292
424,81,False,2016-02-01 14:05:52.483
425,73,True,2016-02-01 13:55:16.477
426,82,False,2016-02-01 13:50:40.489
427,74,True,2016-02-01 13:26:49.983
428,82,False,2016-02-01 13:23:12.786
429,75,True,2016-02-01 13:11:23.909
430,82,False,2016-02-01 13:08:23.592
431,74,True,2016-02-01 11:13:57.392
432,82,False,2016-02-01 11:10:01.990
433,84,True,2016-02-01 11:02:43.985
434,83,False,2016-02-01 10:59:42.487
435,79,True,2016-02-02 19:11:36.987
436,84,False,2016-02-02 19:08:48.084
437,77,True,2016-02-02 14:31:14.693
438,83,False,2016-02-02 14:24:09.288
439,73,True,2016-02-02 13:28:15.695
440,82,False,2016-02-02 13:25:26.493
441,78,True,2016-02-02 13:05:09.998
442,83,False,2016-02-02 12:56:23.798
443,78,True,2016-02-02 11:33:12.798
444,82,False,2016-02-02 11:29:46.392
445,73,True,2016-02-02 09:45:03.174
446,81,False,2016-02-02 09:38:31.189
447,73,True,2016-02-02 09:29:58.096
448,82,False,2016-02-02 09:25:37.388
449,74,True,2016-02-02 08:52:48.683
450,83,False,2016-02-02 08:50:46.588
451,75,True,2016-02-03 13:35:52.481
452,85,False,2016-02-03 13:31:58.980
453,75,True,2016-02-03 12:29:25.189
454,82,False,2016-02-03 12:27:15.201
455,75,True,2016-02-03 12:22:52.285
456,84,False,2016-02-03 12:20:27.484
457,79,True,2016-02-03 11:13:22.578
458,84,False,2016-02-03 11:11:08.082
459,83,True,2016-02-03 09:31:37.292
460,87,False,2016-02-03 09:29:14.794
461,75,True,2016-02-04 21:31:58.191
462,83,False,2016-02-04 21:28:30.395
463,80,True,2016-02-04 20:51:56.579
464,85,False,2016-02-04 20:49:07.381
465,84,True,2016-02-04 12:47:21.877
466,86,False,2016-02-04 12:43:25.381
467,80,True,2016-02-04 07:29:27.980
468,87,False,2016-02-04 07:27:05.988
469,74,True,2016-02-05 15:54:03.582
470,82,False,2016-02-05 15:51:56.180
471,79,True,2016-02-05 08:21:25.584
472,84,False,2016-02-05 08:17:26.180
473,78,True,2016-02-06 07:09:08.387
474,84,False,2016-02-06 07:05:20.576
475,74,True,2016-02-08 16:24:21.496
476,81,False,2016-02-08 16:18:14.780
477,78,True,2016-02-08 16:08:32.982
478,83,False,2016-02-08 16:04:56.199
479,76,True,2016-02-08 10:38:21.683
480,82,False,2016-02-08 10:33:04.880
481,75,True,2016-02-08 09:53:02.578
482,83,False,2016-02-08 09:49:15.186
483,79,True,2016-02-08 08:18:20.577
484,85,False,2016-02-08 08:15:09.980
485,80,True,2016-02-09 11:57:00.994
486,85,False,2016-02-09 11:52:49.591
487,80,True,2016-02-09 08:53:19.594
488,85,False,2016-02-09 08:50:00.500
489,76,True,2016-02-10 18:47:05.674
490,83,False,2016-02-10 18:42:02.086
491,81,True,2016-02-10 18:02:50.498
492,85,False,2016-02-10 17:58:37.392
493,80,True,2016-02-10 15:51:46.097
494,85,False,2016-02-10 15:47:53.477
495,83,True,2016-02-10 10:15:46.278
496,87,False,2016-02-10 10:12:58.175
497,75,True,2016-02-11 20:42:18.585
498,82,False,2016-02-11 20:39:06.679
499,80,True,2016-02-11 20:27:55.197
500,85,False,2016-02-11 20:24:51.696
501,75,True,2016-02-11 15:32:01.784
502,81,False,2016-02-11 15:28:56.287
503,75,True,2016-02-11 15:18:11.385
504,82,False,2016-02-11 15:15:48.377
505,75,True,2016-02-11 14:38:49.685
506,83,False,2016-02-11 14:35:01.277
507,75,True,2016-02-11 13:33:41.792
508,82,False,2016-02-11 13:31:34.397
509,79,True,2016-02-11 13:21:34.293
510,84,False,2016-02-11 13:18:15.994
511,77,True,2016-02-11 08:35:04.980
512,84,False,2016-02-11 08:22:56.982
513,78,True,2016-02-11 08:00:46.875
514,84,False,2016-02-11 07:56:04.179
515,81,True,2016-02-11 06:55:05.878
516,85,False,2016-02-11 06:51:03.581
517,84,True,2016-02-11 05:47:38.792
518,87,False,2016-02-11 05:42:51.494
519,81,True,2016-02-12 11:52:26.183
520,85,False,2016-02-12 11:49:15.581
521,83,True,2016-02-12 06:38:04.698
522,87,False,2016-02-12 06:34:58.198
523,91,False,2016-02-15 23:57:25.686
524,86,True,2016-02-15 13:44:18.190
525,86,False,2016-02-15 13:35:00.695
526,84,True,2016-02-16 20:37:34.174
527,87,False,2016-02-16 20:31:50.779
528,76,True,2016-02-16 17:59:03.883
529,83,False,2016-02-16 17:52:34.682
530,75,True,2016-02-16 17:22:17.484
531,83,False,2016-02-16 17:18:42.285
532,75,True,2016-02-16 15:33:38.280
533,81,False,2016-02-16 15:28:27.185
534,75,True,2016-02-16 15:25:46.185
535,83,False,2016-02-16 15:23:26.795
536,75,True,2016-02-16 14:56:46.474
537,82,False,2016-02-16 14:52:53.496
538,76,True,2016-02-16 14:40:33.488
539,83,False,2016-02-16 14:38:14.198
540,76,True,2016-02-16 13:10:24.399
541,83,False,2016-02-16 13:08:11.399
542,76,True,2016-02-16 12:49:17.388
543,83,False,2016-02-16 12:45:59.295
544,76,True,2016-02-16 12:21:20.404
545,83,False,2016-02-16 12:18:06.187
546,77,True,2016-02-16 11:18:10.592
547,83,False,2016-02-16 11:13:48.586
548,77,True,2016-02-16 10:55:08.691
549,85,False,2016-02-16 10:51:55.994
550,78,True,2016-02-16 10:04:09.587
551,86,False,2016-02-16 10:01:41.390
552,79,True,2016-02-16 08:58:14.396
553,88,False,2016-02-16 08:55:40.791
554,79,True,2016-02-16 07:54:17.291
555,88,False,2016-02-16 07:51:02.483
556,88,True,2016-02-16 07:23:42.489
557,94,False,2016-02-16 07:19:57.283
558,79,True,2016-02-16 00:03:57.290
559,81,True,2016-02-17 18:18:25.992
560,85,False,2016-02-17 18:15:00.288
561,77,True,2016-02-17 14:43:00.487
562,85,False,2016-02-17 14:39:45.177
563,78,True,2016-02-17 10:53:01.688
564,85,False,2016-02-17 10:50:40.479
565,79,True,2016-02-17 10:41:04.181
566,91,False,2016-02-17 10:36:34.779
567,87,True,2016-02-18 22:26:56.881
568,87,False,2016-02-18 22:24:19.585
569,81,True,2016-02-18 15:20:56.287
570,85,False,2016-02-18 15:18:12.882
571,78,True,2016-02-18 10:36:27.995
572,85,False,2016-02-18 10:27:29.299
573,87,True,2016-02-18 09:50:07.788
574,89,False,2016-02-18 09:40:59.981
575,87,True,2016-02-18 06:26:07.888
576,89,False,2016-02-18 06:22:12.280
577,76,True,2016-02-19 16:51:04.292
578,83,False,2016-02-19 16:48:18.699
579,75,True,2016-02-19 14:45:43.084
580,83,False,2016-02-19 14:42:34.882
581,76,True,2016-02-19 14:24:35.484
582,83,False,2016-02-19 14:18:44.478
583,79,True,2016-02-19 13:41:02.381
584,84,False,2016-02-19 13:32:28.887
585,77,True,2016-02-19 12:14:35.583
586,85,False,2016-02-19 12:12:00.889
587,80,True,2016-02-19 09:15:34.282
588,86,False,2016-02-19 09:11:37.486
589,87,True,2016-02-19 08:26:18.290
590,88,False,2016-02-19 08:18:44.076
591,82,True,2016-02-22 17:32:24.084
592,86,False,2016-02-22 17:29:52.082
593,81,True,2016-02-22 15:07:05.286
594,86,False,2016-02-22 15:03:14.985
